review,rating,gym,branch,length,year
"I've been with VA Paya Lebar for almost 2 years now, and have been training with their senior trainer Avan Kua. He is very knowledgeable and passionate about his training and I really enjoyed my training sessions with him every week. Do look for him if you wish to kickstart your PT journey! You will not be disappointed ",5,Virgin Active,Paya Lebar,321,2024
"Paya Lebar Virgin Active is my fav virgin active out of all. The class schedule, the size of the gym and trainers, everyone is fantastic. The staffs are super friendly, and especial shoutout to Faiz and maya as they are litreally the best. Faiz always goes out of his way to help everyone and Maya is just always smiling and friendly.",5,Virgin Active,Paya Lebar,334,2024
"Dealt with Justine. Insincere and incompetent. A gym membership is such a basic product but she can OFFER
something and FAIL to deliver. And I'm not even sure if she realises what happens. Thus I rather warn others who are joining rather than sort this out with the gym, absolute waste of my time",1,Virgin Active,Paya Lebar,296,2024
"As someone who didnt always like going to the gym, I now enjoy going to the gym so much more, and a lot of it is because of Khai, who is a very helpful PT, as he looks out for my well-being and goals, and is encouraging and pushes my ability. I can safely say my shoulder mobility has improved, and that Ive gained a lot more strength after being in his care as well. He also gives templates of workouts to do when we dont have sessions, which is super helpful when I want to do my own workouts. Very thankful for his guidance in my fitness journey too!",5,Virgin Active,Paya Lebar,553,2024
"The facilities at Virgin Active are amazing. I love the diversity of the classes and the equipment. The customer service is excellent as well, and I'd like to give a special shout-out to Muhammad who was very helpful.",5,Virgin Active,Paya Lebar,217,2024
"friendly and helpful counter staff putri and her colleague with long curly hair, that made me feel welcome back to the gym after a long pause!",5,Virgin Active,Paya Lebar,142,2024
Very nice and clean gym equipments!! Friendly and helpful counter staff Philip!,5,Virgin Active,Paya Lebar,79,2024
super helpful from Muhammad Faiz! he assisted me with my bookings and allowed me to book the classes super seamlessly:) appreciate his help so so much!!!,5,Virgin Active,Paya Lebar,153,2024
"Beyond the training, the friendly staff at PLQ Virgin Active always make me feel welcome, and the club's facilities and amenities are top-notch. The gym is consistently clean and comfortable, creating an ideal environment for staying motivated and focused.

When I entered my 50s, I realized how crucial it was to stay fit and healthy. In 2019, I joined PLQ Virgin Active and started training with Avan as my personal trainer. From day one, he has been incredibly professional, customizing every exercise movements to align with my goals, focusing on full-body mobility, strength and muscle mass building. Avan's patience and support got me started and made me enjoy every workout session. Today, I'm proud of the progress I've made - my increased strength and transformed muscle definition are a testament to Avan's dedication. I couldn't have achieved these results without him!",5,Virgin Active,Paya Lebar,880,2024
Called multiple times since yesterday - still nobody picks up the phone. Is no one working or is the number just for show...?,1,Virgin Active,Paya Lebar,125,2024
"Working with Coach Avan has been a game-changer for my fitness journey, especially during recovery and post-op rehabilitation. Avan's expertise and personalized approach have helped me regain strength and mobility faster than I expected. He tailors each session to my progress, ensuring a safe and effective recovery process.

The gym itself is always spotless, creating a comfortable and motivating environment. The staff are incredibly friendly and welcoming, making each visit a positive experience. Highly recommend Avan and this branch of VA.",5,Virgin Active,Paya Lebar,547,2024
"I love all the girls here tonight 30th August  especially Hayati, Atikah,Suhaila & Putri",5,Virgin Active,Paya Lebar,88,2024
I really love the gym. Paya Lebar branch by far the best when it comes to the machines and also the team working there. I'm glad that we had Olga helping us throughout the entire journey of our membership for the past 2+ years. She's the kindest and most responsive by far! It's a pity that we have to move areas but I really hope that one day VA comes to the North East :)),5,Virgin Active,Paya Lebar,374,2024
"I've had a great experience at Virgin Active Paya Lebar, especially with the well-maintained facilities and the wide range of classes. KC has been very helpful with my membership needs, and Hai Ngee's training has been instrumental in my fitness progress. Overall, I'm very satisfied and appreciate the supportive environment.",5,Virgin Active,Paya Lebar,326,2024
"I recently had the pleasure of visiting Virgin Active Paya Lebar, where I was expertly assisted by KC. From the moment I arrived, KC provided exceptional service, arranging a spin trial and giving me a detailed tour of the state-of-the-art facilities. Her approach was both professional and thoughtful--she made me feel welcomed and at ease without exerting any undue pressure to commit, which significantly enhanced my overall experience.

KC's ability to balance professionalism with a genuine, personable demeanor left a lasting positive impression on me and on the Virgin Active brand. Her commitment to understanding my needs and ensuring I was comfortable throughout the process was exemplary. Although I am currently bound by an existing gym membership, KC's excellent service has made me eager to transition to Virgin Active as soon as possible. I greatly appreciate her efforts and look forward to becoming a member of this impressive facility.

Please look for KC if you want to signup, she's really good",5,Virgin Active,Paya Lebar,1014,2024
"Wonderful gym, clean, the best location. And your crews are the best, especially Maya and Phillips, with their perfect and friendly smile face made my day my day. Both of them are the best represent of the best gym with top-tier service, helpful with top-notch excellence service. Good job, Virgin Active!",5,Virgin Active,Paya Lebar,305,2024
"I've been a member at the PLQ branch for a while now, and even though it's smaller compared to some other locations, the experience is exceptional. The staff are consistently friendly and always go the extra mile to ensure you're well taken care of. A special shoutout to Joana, who has been outstanding since day one. Her warm personality and dedication to addressing members' needs have truly made the customer journey remarkable.",5,Virgin Active,Paya Lebar,432,2024
"Wonderful gym with clean equipment, friendly staff and members, and a whole diversity of classes! Sufficient machines for the average gym goer. Great views during cardio too.

Well-stocked and well-maintained changing room with high quality shampoo, conditioner, body soap, and lotion. Mirrors are well-lit too. Lockers are all quite clean so far.

Edit to add: Your staff Maya has been immensely helpful with top-notch customer service - she assisted to store my bulky parcel (meant for delivery which failed) for an evening I had to go into town, and even waited until closing for me to come back. Really appreciate her going the extra mile. You know that at Virgin Active you are paying for not just quality equipment and training slace, but also quality service. ",5,Virgin Active,Paya Lebar,767,2024
"My absolute favourite outlet of VA. Kudos to the lovely staff who always go above and beyond! Can always rely on the Paya Staff to help me out, esp Syam and Nadra Facilities are also always clean and well maintained!",5,Virgin Active,Paya Lebar,216,2024
"This fitness club is a good place to work towards your fitness goals!
The gym coaches are incredibly knowledgeable and supportive, always willing to help. Im especially thankful to Avan for creating a motivating and encouraging atmosphere and ensuring my gains. I always feel comfortable asking questions and pushing myself further. I highly recommend this gym to anyone looking to improve their health and well-being!",5,Virgin Active,Paya Lebar,418,2024
"I'm a member of VA for a number of years. I would like to shout out to 3 staffs at VA PLQ branch: Maya, Philip and Faiz. They have been very patient and helpful in locating my lost items, which are very important to me. I am truly grateful for their effort 
I hope VA will continue to have such a great standard of service!",5,Virgin Active,Paya Lebar,323,2024
"Not as good as other 4 VA gyms, in terms of gym equipment and other amenities. Just a basic gym.",3,Virgin Active,Paya Lebar,96,2024
"Virgin Active is definitely my go to place for training. I also would like to show my gratitude to one of the staff in PLQ, Philip who shows lots of energy and bring in motivation to members. Thank you so much to let me enjoy every minutes in the gym.",5,Virgin Active,Paya Lebar,251,2024
Pleased with this outlet's facilities and environment. Kudos to KC for the good experience and swift follow-up whenever her assistance is required. Keep grinding!,5,Virgin Active,Paya Lebar,162,2024
"I have been visiting Virgin Active Paya Lebar since 2020. Most of the staff here are friendly and helpful, especially Im impressed with the lady named Hayti. She is very helpful to assist me with concerns and membership freezing matters when Im away.",5,Virgin Active,Paya Lebar,250,2024
"Overall the studio needs to be upkeep better especially the pantry and washroom. Cups are super dirty, when I use a tissue to wipe, its brown on the inside. One of the even had mould on it because the cup was all the way hidden inside and probably not used for a long time. Toilet rolls are often used up. I dont see the studio being under staff. There are plenty of staff in fact but the studio is not at its best condition compared to the rest of the outlets in town.",2,Virgin Active,Paya Lebar,469,2024
I have had Ken as a pt for a few years now and he is the best. After a severe injury he's helped me get back into action within no time. He's specialised in rehab training and that shows both in a well thought out exercise plan and help with the release of muscle tension. Highly recommended!,5,Virgin Active,Paya Lebar,292,2024
"Been a Virgin Active member for more than 2 years and I am sorry to say customer service at this outlet have been slipping lately. Had booked a class today at 10.45pm today but have forgotten to bring my wallet and thus my virgin active card.

I understand fully the company policy that card has to be brought for check-in but was hoping that I can use my Virgin Active app to indicate my Virgin Active membership and the class booking.

However, I am shocked to be met by hostile customer service from a male staff who seems pissed that I didnt bring my card and used an aggressive tone with me. I am alright with the message yes I should always bring my card but the tone used here is horrible. I explained kindly that this is a one-off instance and he just replied curtly asking what attire I need. I replied my sizing and requested a locker as well and he replied in a dismissive tone for a locker I will need to provide a card as a deposit. I explained once again that I have left my wallet at home and this is not able to provide my card. But l do have a confirmed class booking and cant the staff use my details (e.g writing on a note my membership ID and using that as a deposit ) if they are that concerned about me stealing a locker key?

I will not be stating the above if Virgin Active does not command a premium price for its gym membership. Virgin Active state that their mission is to bring positive change to peoples lives, because lifes more fun when you move. But I am feeling nothing but negativity from the customer service interaction today.",1,Virgin Active,Paya Lebar,1562,2024
Theres no warm water in the shower booth,3,Virgin Active,Paya Lebar,40,2024
"I would like to express my appreciation to Senior Personal Trainer Ken Chung for his Expertise,Dedication in Helping me Recover from my Shoulder Pains and Lower Back Pain that I have been suffering for months. I need to apply Pain Relieving Plaster to my lower back to relieve the pain and help me sleep every night. And with Senior Trainer Ken Chung Friendly approach and Caring Attitude in showing and guiding me to Perform the proper exercises to Improve Flexibility, Reduce Muscle Tension and Soreness that I No longer need the pain Relieving plaster to sleep at night. I truly Appreciate it. Thank You Mr. Ken Chung, Senior Trainer and Fitness Manager of Paya Lebar VirginActive",5,Virgin Active,Paya Lebar,683,2024
"Please increase space, toilet cubicles, and shower rooms. Always need to wait very long to use the facilities, at the end ended up late for schedule.",3,Virgin Active,Paya Lebar,149,2024
"Horrible and rude pilates teacher in Paya Lebar , reformer can only be used after classes . The reformer was taken out after i sign for package . I wonder is a reformer not consider exercise machine . Why must everyone joined classes . And once when I arrive earlier to use the instructor treat it like their house chiding people for using in when they want to use .",1,Virgin Active,Paya Lebar,366,2024
"I had a positive experience attending personal training sessions with Khairul. He is very friendly and approachable which is important in a gym environment. The sessions were well structured and informative, and Khairul went above and beyond by giving advice about meals and macros. He makes a great edition to the team at Paya Lebar ",5,Virgin Active,Paya Lebar,334,2024
The most happening and friendly crew. Always feel very welcomed altho I don't bring my card at times. They always serve me with a smile. Never regretted joining. Thank You Team PLQ. To many more years ;),5,Virgin Active,Paya Lebar,203,2024
Quite ok.,5,Virgin Active,Paya Lebar,9,2024
Am enjoying being a member at VA so far. The classes instructors and the PT sessions I had with coach Dami was empowering and I have never felt fitter ever since I became a mum. Thumbs up!,5,Virgin Active,Paya Lebar,188,2024
Perfect location and friendly staffs.,5,Virgin Active,Paya Lebar,37,2024
"Love all the Virgin Active studios ! Well located (next to MRT), modern facilities, variety of classes and above all is their customer service. Special thanks to Maya at Paya Lebar studio for her excellent customer service. She has gone great length to search and retrieve my lost items (multiple times) and promptly followed-up. If you are looking for a hassle-free, safe and fun gym experience, do consider joining VA.",5,Virgin Active,Paya Lebar,420,2024
"I'm really loving being a member of this gym - everyone is so friendly and helpful. The classes are great - my particular favourite being Pilates and all the instructors are excellent. My only 'gripe' is people getting changed into their gym clothes / normal clothes in the toilets... meaning those who actually need the toilet can be left waiting in long queues at busy times.

Equipment is new, well maintained and cleaned. Support staff do a great job in this respect keeping everything clean and orderly.",5,Virgin Active,Paya Lebar,508,2024
I loved the Pilates workouts at Virgin Active Paya Lebar. My consultant Joanna was extremely helpful throughout my experience.,5,Virgin Active,Paya Lebar,126,2024
"Please do not come to this gym. Because you will forgot your house. You will make this gym as your second home.

I am grateful to Hayati and KC for their invaluable assistance during my time at the gym.",5,Virgin Active,Paya Lebar,202,2024
"Hayati, Daiyan and team are extremely helpful and friendly towards every customers at PLQ virgin. Superb customer service and should be recognized for excellent job rendered! Well done and keep it up!",5,Virgin Active,Paya Lebar,200,2024
"counter staff never fail to greet me with a smile the moment i step out of the lift. special mention to syam who was attentive to my needs as well as kudos to zamir for never failing to top up the amenities in the guys changing room before it runs out. also, loving nabilahs GRID classes!!!",5,Virgin Active,Paya Lebar,290,2024
Great Place Great Crew Great Crowd!,5,Virgin Active,Paya Lebar,35,2024
Great gym with awesome facilities and staff! Philip's one of the most proactive team member and never fails to greet everyone with a smile!,5,Virgin Active,Paya Lebar,139,2024
"Like the machines which keep count of the repetitions, the sets, and the wave graph that guides one with each cycle. Free tea and quality bath shampoo.",5,Virgin Active,Paya Lebar,151,2024
"My first Gym in SG and it was recommended by my co worker yet it didn't disappoint me! The gym itself was great very clean! Well maintained! Especially the classes that always make my day and make my gym journey fun and productive!! Loving the spinclass spirit and ending it withh a Yoga Calm is a perfect combo!. Special mentioned to the staff who are always welcoming and assisting everyone with a smile and enthusiasm to help! To KC, Olga, Salim and Maya! Thank you for always welcoming us with a a smile and making us feel welcome and comfortable! Great gym!!",5,Virgin Active,Paya Lebar,563,2024
"I would like to take a moment to express my sincere gratitude for the exceptional personal training experience provided by Mr. Yeo Hai Ngee. Throughout our sessions, Hai Ngee demonstrated an unparalleled level of dedication and professionalism that truly sets him apart. Having worked with three other personal trainers from different gyms in the past, I can confidently say that Hai Ngee surpasses them all.

His commitment to helping me achieve my fitness goals was evident in every session. He consistently went above and beyond, checking in on my dietary habits and ensuring I remained accountable to my fitness regimen. His unwavering support and encouragement were instrumental, especially during challenging moments when my progress seemed to plateau.

One aspect of his dedication that truly impressed me was he never missed a single training session and has complete focus during our sessions. This level of professionalism speaks volumes about his commitment to his role.

Thanks to Hai Ngees expertise and guidance, I was able to achieve remarkable results, losing over 10kg and experiencing a transformative change in my life. I am incredibly grateful for his dedication and would wholeheartedly recommend his services to anyone seeking a personalized and effective approach to fitness training! Hai Ngee is truly a gem to Virgin Active!",5,Virgin Active,Paya Lebar,1349,2024
"Frans reformer class fantastically creative and exciting, almost each week has new movement",5,Virgin Active,Paya Lebar,91,2024
The gym is small and the class space takes up 50% of the area. There are constantly classes going on with instructors shouting on microphones over the gym speakers. My head phones are on full volume and I can still hear them. They also just did multi month long renovations with very few improvements. They kept 30% of the spaces open during renovations and didnt compensate their members. Would not recommend this location. The other locations around SG are superior.,1,Virgin Active,Paya Lebar,468,2024
"This is a very popular outlet when it comes to weekend classes so I always have to camp at 9pm to book. Unfortunately my fingers were too fast, I went to book next day 3 classes in a row without realising that it should be another Sunday. Wrote them an email at 9.40pm hoping they won't penalize me for the mistake since I have already planned birthday celebrations. The next day morning, Salim promptly replied and waived off the 3 strikes I gotten for cancelling classes. Really made my day! Thank you so much for been understanding too! So glad I have this outlet so near my house:)",5,Virgin Active,Paya Lebar,585,2024
"I personally like VA Gyms, not only the staff are friendly, helpful and accommodating (special shout out to my consultant KC!), the gym is clean, bright and doesn't smell much compared to other gyms around Paya Lebar. The members are disciplined and considerate too. You can have free trial if you like, then commit only if you really like the gym. 

If you decided to go for free trial, you may use my code. If you decide to sign in, they have free 8weeks when you sign in with a buddy.
http://mylocker.virginactive.com.sg/iaf/SANTIAGO8210AE27",5,Virgin Active,Paya Lebar,544,2024
"Been going here for the last 1 year and I think theyre one of the best commercial gyms going around (not including the personal training gyms). The equipments and studios are top notch, booking system is simple and sensible, and counter staff and personal trainers are all really kind and helpful. I once dropped my Airpods into the laundry together with my workout shorts and it went all the way to the outsourced laundry company, and the counter staff, especially Salim, were kind enough to coordinate its recovery over 2 days, and kept me posted all along.",4,Virgin Active,Paya Lebar,559,2024
"Super clean and well-equipped gym. Most importantly, staff are welcoming and kind!
I am so grateful to all of you who were at the club at 1.30pm on Jan 30 for pitching in a hand (literally) to the daunting task of finding my wedding ring amidst a mountain of laundry. You have no idea how touched I am - you did this enthusiastically, without complaint or expectation of reward.

It had been a tough month following a tough 2023 and this was the nicest gesture Ive received. I hope the VA management will appreciate you as well on my behalf!",5,Virgin Active,Paya Lebar,541,2024
"Was a member of VA when they opened the first outlet in Raffles, and now I'm back in VA again. Always enjoy the vibe, classes and facilities of the club. Have been attending Fen yoga and reformer classes regularly. Fen is an experienced and patience instructor. I always feel refreshed after her yoga classes. Enjoyed her reformer classes, the pace and intensity of each class is well managed and I always feel my muscles working after each class.",5,Virgin Active,Paya Lebar,447,2024
I've a complaint about next Thurs 10am pump booking. Spot 8 was already booked before 9pm. How can front desk or sales consultant help existing member book spot n class in advance? This is so unfair. We are all paying members. Please reply to my feedback,1,Virgin Active,Paya Lebar,254,2024
"Great services and a nice club ambiance.

Happy to have a very dedicated consultant, KC. She's incredibly helpful.",5,Virgin Active,Paya Lebar,114,2024
"Ive signed up to VA a few months back and I must say I made the right decision. I've enjoyed all the classes that I have attended specially the Pilates sessions. I appreciate the cleanliness of the gym and most importantly the friendliness of all the staff.
Special compliments to KC who have been so helpful since the beginning of my sign up and continuously assisting me on my queries and request every now and then.
Would definitely recommend to reach out to her if you're interested in joining the VA.",5,Virgin Active,Paya Lebar,505,2024
"I have recently joined VA , and the Staff, KC has been the best staff , be it in giving advices, promotional deals, and plans. She have helped me alot in the process. I would like to compliment on her service and her attitude in her work. Very enthu, and Helpful.
Gym was super Clean and very well organised, Definitly a place to go and chill after a long day of work.
Thank You VA,

Daniel",5,Virgin Active,Paya Lebar,390,2024
"Really love the classes here. Great gym and a welcoming environment. Special mention and shout out to KC who was approachable, friendly and eager to assist with all my questions and concerns even though she was overseas and on leave. Cheers!",5,Virgin Active,Paya Lebar,241,2024
Several of the female staffs in particular can be quite rude and unfriendly.,2,Virgin Active,Paya Lebar,76,2024
"I left my waterbottle at VA Paya Lebar on 17 Dec 2023 and called 6 times before someone finally picked up the phone. I was able to speak to KC (Casey? Kacy?) who said they found my water bottle and would keep it for me so i could collect it in the month of Jan 24. I went back last week and they were unable to find it and said i needed to talk to KC directly. I went back today and asked for KC twice however she refused to come out and meet me and the counter staff were still unable to find my bottle. I am truly disappointed with my experience at VA Paya lebar. The zumba stage is always slippery after body pump because the it is not cleaned prior to class and our instructors have nearly slipped many times, there was once i even helped reset the room for the next class, the counter staff does not greet visitors when they reach the gym unlike other VA outlets and the staff being unwilling to come out and meet me or and/or apologize for the loss of the waterbottle is not befitting the status of a premium gym. However i would like to thank the new counter staff from Duo Galleria who tried to assist me last week and were kind and courteous. I really hope VA Paya Lebar can do better.",2,Virgin Active,Paya Lebar,1194,2024
"Unlike the other reviewers here, I personally think there is no other gym in Singapore that can be compared to Virgin Active's great service and clean equipment.

Sure the PLQ joint is smaller. So obviously they can't have all the machines similar to those at the Raffles Place one right?! Manage your expectations instead of complaining this and that all the time.

It's my go to gym when I work from home and also during the weekends.

I can't comment on the lessons as I've never joined any. However, you have to understand they have to cater the lessons to a broad range of customers. This is not your personal gym, it's a gym for the masses.",5,Virgin Active,Paya Lebar,646,2024
"love coming to virgin active! place is clean, staff are very friendly :) especially KC my consultant. she is very sweet, helpful and would often go the extra mile.
would definitely reccomend virgin active and KC to my friends!",5,Virgin Active,Paya Lebar,226,2024
"Love the homely vibe that paya lebar outlet has as everyone is so friendly.

Special shout out to KC for always being so patient, helpful and friendly!!! She is always doing her best to accomodate our requests, quick to respond to any concerns we have and is constantly checking on us to make sure we enjoy our experience here. Highly recommend reaching out to her if you are interested in applying for a membership :)",5,Virgin Active,Paya Lebar,418,2024
Love the facilities,4,Virgin Active,Paya Lebar,19,2023
Noise.,5,Virgin Active,Paya Lebar,6,2023
"Signed up for VA a few months back, have really been enjoying my time there. Love attending pilates and yoga classes. I am thankful to KC for being so helpful in the entire process even beyond signing up. She is prompt to reply and help in any matters related to billing and classes etc. Id recommend anyone wanting to explore the gym to reach out to KC!",5,Virgin Active,Paya Lebar,354,2023
"I would definitely say Virgin Active is the best in SG

Always my favourite place.

But the drawback is they keep on changing the trainers",4,Virgin Active,Paya Lebar,138,2023
"Im a physician in corporate practice. I do attend cycle/RPM regularly at PLQ. Just to reiterate some of the concerns members have expressed re: lack of air conditioning. I think the management at this branch needs to get their act together. Lack of air conditioning or poor air condition / ventilation in an enclosed space with a full class of sweating cycling members for any duration is suffocating. It is also disaster waiting to happen re: high risks of heat exhaustion; and/or heat stroke, in the worst case. Triggers of lack of ventilation, poor body cooling in addition can trigger cardiac rhythm abnormalities that in the worst case, has risks of mortality. There is no ambulance on standby at the gym where emergencies like this (God forbid) should and can be avoided. Please do the right thing. Thank you!",1,Virgin Active,Paya Lebar,815,2023
"I am writing to express my concerns about the recent experience I had during a cycling class at Virgin Active PLQ. The air conditioning in the cycle room was not functioning properly, causing the room to become uncomfortably warm, stuffy, and suffocating. This made it difficult to exercise and raised health concerns.

This is not the first time it happens, the aircon will auto shut down about 10 to 15 mins into the class. Have feedback to the front desk a few times but apparently nothing is done.

I kindly request that you address this issue promptly to ensure the comfort and safety of all members. I appreciate your attention to this matter and look forward to a resolution.",1,Virgin Active,Paya Lebar,682,2023
"We appreciate VAs commitment to environmental conservation by turning off the air conditioning when classes are still in session. However, I want to address this concern.

As paying members, I understand the importance of environmental responsibility, but this can be challenging when the room gets excessively humid during a cycling session with 25 participants. High humidity levels may lead to discomfort and potentially health concerns. I do seek your understanding from this perspective.

While we fully support the efforts to save the Earth, its essential to strike a balance to ensure the well-being of members too. Compromising on comfort to an extreme extent might not reflect positively on your branding. I hope for a solution that aligns with our environmental goals while ensuring the safety and comfort of members during classes.

Thank you for your understanding.",3,Virgin Active,Paya Lebar,877,2023
"Thanks to Shana( Relationship Consultant) @Paya Lebar branch, my exercise regime is back on track. Shes always checked in to see how I am doing and her bubbly character sends me good vibes.",5,Virgin Active,Paya Lebar,189,2023
Love the classes at VA especially Lynnes yoga align class on Wednesdays! I have been going to VA from January this year and honestly Im quite surprised that no 2 classes from Lynne are the same. Perfect balance of letting us try new poses while letting us go at our own pace :),5,Virgin Active,Paya Lebar,277,2023
"Ive been a dedicated member of Virgin Active for some time now, and I cant say enough about the fantastic yoga and reformer classes they offer.

In particular, Ive had the pleasure of attending classes with Georgia and Hayley, who are phenomenal instructors. Not only are they experts in their craft, but they bring a positive energy to each class thats truly invigorating. Their willingness to listen to feedback and consistently provide varied and creative sequences is commendable.

What impresses me most is the effort and thought they put into planning and curating each class. Attending back-to-back classes or multiple times a week is a delight, as they always introduce fresh sequences while staying true to the weeks theme.

Beyond their expertise, what truly sets Georgia and Hayley apart is their patience and approachability. They take the time to connect with members on a personal level, creating a welcoming and inclusive environment in every class.",5,Virgin Active,Paya Lebar,964,2023
"It could be crowded, expensive and sometimes the lift doesn't work(which would be very frustrating especially on leg days) but then you have the best personal trainers who become family. Terence, the pocket rocket, is one of the best trainers who goes the extra mile to squeeze you out of your humanly pleasures by making you do additional sets at end of the session. Stand up guy ",5,Virgin Active,Paya Lebar,381,2023
Went for a spin class by Clare. She was really friendly and her energy was 100% making the class really enjoyable!,5,Virgin Active,Paya Lebar,114,2023
"Love Clares Cycle-Spirit class! Its fun, lively and the music choices is amazing too!",5,Virgin Active,Paya Lebar,85,2023
"Experience, friendly and patience Instructors!

I would like to compliment Jeslin and Lynne for their super great Yoga Flow and Align classes! Their passion for yoga is evident, and their teaching style is both supportive and inspiring. They create a warm and welcoming atmosphere that encourages personal growth and exploration on the mat.

Like the energy and positive vibes they bring to class each time (as we feel it in during the practice), and they bring great sequences too! A sequence consist of breakdown poses (to strengthen and lengthen), leading up to getting advanced poses seamlessly! There are very attentive to their class attendance such they always accessible or stronger poses for everyone; be it for Beginners to Advanced Practioners! Strong practice which might get Beginners intimidated but it is a great practice to attend to consistently - You just get stronger day-by-day! They give clear cues to enter and exit to poses - which is important to prevent injuries.

And their calm class is superrrr good. It brings back ones inner peace and focus after a long day! Thanks Jeslin and Lynne for being amazing always!

Yoga and Reformer studios is small and cosy. Gym floor is spacious with variety of equipments to work with. Like the convenient location (which is near train station and malls!), making it easy to fit workouts into a busy schedule.

To sum up, Virgin Active is still the best with a variety of classes! I always leave feeling energized and accomplished.",5,Virgin Active,Paya Lebar,1493,2023
"Call me weird but I'm loving the smell of the place! Clocking my cardio workouts mostly at Paya lebar's cycle spirit - Clare / Christian/ Mabel's classes are amazing! Gym uses Appelles products, am enjoying my post workout showers ~",5,Virgin Active,Paya Lebar,232,2023
"Clean, well-equipped and good varieties of classes & equipments. Staffs are friendly and love the vibe there. Special shout out to Rozanne Y. for being so motivating and making Reformer Pilates classes so interesting & satisfying. And also special shout out to Jeslin L. for Yoga classes that not only help me physically relax but also spiritually calm. My PT classes with Avan had really helped me transform and strengthen my body and also inspired me to want to keep becoming better.",5,Virgin Active,Paya Lebar,485,2023
"The first gym Ive signed and wont go anywhere else! I had a goal in mind to effectively learn how to do weight training myself and glad that after close to 5 months of PT session with no other than Terence who is an ultimate powerhouse I can now successfully say that I can smash a full week of workout myself!!

Truly learnt so much here, from hating weights to learning to counter my fears, dispel my beliefs and truly learn from the best. If theres anyone you can bump in the gym it will also be Terence who puts his 110% into every single session *rain or shine Im serious*!! His dedication to fitness and training is truly admirable and motivating.

If youve ever been to his grid classes (which are always fully booked) every Fridays and Saturdays, he is also full of energy always staying upbeat and positive while still correcting your form and pushing you. Theres no slacking when he is around!!! :P Big shout out to Terence the champ, thanks for the wonderful energy and vibes day in day out, its truly contagious!! =) 10/10",5,Virgin Active,Paya Lebar,1034,2023
"I enjoy every of Rozanne Ys Reformer classes (Align + Athletics). She is a very caring and encouraging trainer. Always looking forward to stretch my body in her classes. Thank you so much, Roxanne!",5,Virgin Active,Paya Lebar,197,2023
"Recently signed up at the gym! Really love the facilities, especially very thankful to KC for helping me and my friends sign up - was really helpful and understanding throughout the process! Id recommend anyone wanting to explore the gym to reach out to KC!",5,Virgin Active,Paya Lebar,257,2023
"Clean and the staff are extremely friendly. Gym equipments are pretty complete, happy with my experience :)",5,Virgin Active,Paya Lebar,107,2023
"I have been going to pilates and GRID classes religiously every week. Pilates are handled by Tracey and Roxanne, while GRID is managed by Nabilah.

All are very professional, engaging and helpful!",5,Virgin Active,Paya Lebar,196,2023
"Great location, clean equipments and premise, exceptional service from the team ( A Big thank you to KC for all her help) and awesome classes albeit busyness at all times .
Everyone working at the gym is always ready to help!
Great team !",5,Virgin Active,Paya Lebar,238,2023
