review,rating,gym,branch,length,year
"It has an excellent location, a well-equipped gym, and is relatively quiet. The opening time could be more convenient; it opens at 7 AM on weekdays and 8 AM on weekends. Not for early risers :-)",4,Fitness First,Junction 10,194,2024
S.PREMA Sistar very good in helpful and friendly,5,Fitness First,Junction 10,48,2024
"Been to 6 diff outlets, this branch had a very cosy vibe and people that work out in the studio seems friendly like all knew each other. Instructor fong remember faces and take care of new student.",5,Fitness First,Junction 10,197,2024
"I'd like to give a shoutout to S. Prema and Syazlin at the front desk. They consistently greet all members with a cheerful smile, and their small chats truly enhance the whole gym experience. Theres never a dull moment when I step foot in the gym, be it in the day or evening.

Additionally, I absolutely love the atmosphere at Junction 10's gym. Ive visited other outlets before, but nothing compares to Junction 10. Overall, I always feel a sense of belonging and warmth here!",5,Fitness First,Junction 10,478,2024
"I like going to Fitness First @ Junction 10 for my workouts. The classes here are challenging, diverse, and highly effective. Each class is well-structured and caters to all fitness levels, ensuring everyone gets the most out of their workout.

The facilities are clean, well-maintained, and equipped with the latest fitness gear. The overall atmosphere is motivating and supportive.

The receptionist here is also very friendly, particularly Ms. Prema. From the moment you walk in, you're greeted with her warm smile and a positive attitude.",5,Fitness First,Junction 10,542,2024
"Fantastic service at Fitness First, Swaetha! Friendly, efficient, and welcoming front desk staff make checking in a breeze. Keep up the great work!
Positive
Communication",5,Fitness First,Junction 10,170,2024
"I enjoyed coming to Fitness first for group classes such as yoga , body balance n RPM. Very nice instructors . Friendly counter staff Syzalin always bring smiles n laughter, makes my day.",5,Fitness First,Junction 10,187,2024
The team at FF J10 demonstrated a genuine commitment to making my experience as pleasant as possible. Their professionalism and friendliness truly set them apart. I highly recommend to anyone looking for a place where the staff go above and beyond to provide excellent service.,5,Fitness First,Junction 10,277,2024
Perfect Gym just to hit right after or before work! Every staff and crowd is super friendly and have to give credits to Advisor AL for her constant support and regular check ins with individuals. Splendid job and keep up the good work! ,5,Fitness First,Junction 10,236,2024
"The gym experience here is good so far, and the crowd density is manageable. Advisor AL is very responsible. There was a period of nearly a month when I didnt come to the gym, and she came to check in and offer some advice.",5,Fitness First,Junction 10,223,2024
"Great club, great clases, it has all the necessary machines and plenty of free weights. Chilled club members and staff with a friendly inclusive atmosphere.",5,Fitness First,Junction 10,156,2024
"Had a great and effective BURN class on Thursday by Tony. Though it was a lengthy two minutes workout he broke it down into two 40 sec normal pace and two 20 sec speed. Notice that I burnt 50 percent more calories than usual. Thanks, Tony.",5,Fitness First,Junction 10,239,2024
Good experience,5,Fitness First,Junction 10,15,2024
"Kenny is very helpful and friendly consultant. Overall good place, good vibes, really friendly people, staff and good instructors.",5,Fitness First,Junction 10,130,2024
"When I made my first inquiry about the classes in Fitness First Junction 10, Kenny, the consultant, promptly reached out and he is helpful in getting a trial class for me and showed me around the gym. He was clear in explaining the facilities, classes and membership plans. He is also very responsive when I have questions or need any help. Thank you, Kenny!

I also would like to thank my personal trainer, Ahmad, for his great expertise and guidance, my fitness level has improved and I feel much stronger than before. Ahmad has been patient and encouraging in explaining and guiding me through the different workouts. He is also very attentive to details, safety and injury prevention, emphasising proper form and techniques to prevent any injuries. I know I'll be in good hands training with him!",5,Fitness First,Junction 10,800,2024
"Kenny at the J10 branch of Fitness First has been an incredible consultant for all my membership matters. His dedication, knowledge, and genuine care for my fitness journey have truly made a difference. Kennys professionalism and willingness to go the extra mile have made my experience at Fitness First exceptional. I highly recommend him to anyone seeking guidance and support in their fitness goals.",5,Fitness First,Junction 10,402,2024
"Had the chance to meet Kenny during my first visit and learned a lot about FF from him - body scan machine, studio classes, amenities, fitness equipment. He listened to my goals and advised a few membership plans for me to consider. I like how he is really enthusiastic and passionate about fitness and his work. He never fails to smile and say hi to everyone he knows in the gym! Do look for him if youre still on a lookout for gym memberships.

I took up a 4mth plan to test waters but ended up upgrading to a 12mth plan because i enjoy heading down to have me-time! Also had the privilege to sign up for PT with Desmond - it was great learning from him.

However J10 isnt my preferred outlet as it is only a Premium outlet, without certain benefits (provision of outfits, infused water) which i think is quite important to me. In terms of facilities, Westgate is better.",5,Fitness First,Junction 10,873,2024
Great gym with plenty of classes and equipment,5,Fitness First,Junction 10,46,2024
signed up here with Kenny as my consultant who answered all my concerns. Clean gym and great staffs with good group classes,5,Fitness First,Junction 10,123,2024
"Unlike Fitness First platinum like in metropolis. This club does not provide with any attire. Only towels are given. So definitely over priced than other gyms.
Considering the limitation of space this club has, it is extremely crowded in the evening. The staff is rude. One day a staff member who was not even wearing Fitness first attire told me that he is a supervisor and started telling me about the fitness first policy. When I approached the front desk, they had no clue.. this guy followed me to the front desk and started arguing with me. I just left..
I am a member of FF since long time and I am regular patron on Metropolis gym.. never had such a rude experience.",1,Fitness First,Junction 10,674,2024
My son Junseo attended the sessions with a trainer named Rai for vacation. His posture and height is getting proper and his health is getting better everyday. I am very satisfied with his result of PT and thank you for Rais efforts for my son.,5,Fitness First,Junction 10,243,2024
I truly enjoy Rai's & Danny's Boom class on every Wednesdays because it is really engaging and fun. There is a perfect blend of intensity and endurance. I look forward to Wednesdays the most because of Boom class.,5,Fitness First,Junction 10,213,2023
"Gym was very dark and dingy, air conditioning was not working properly and the place smelt like sweat. Equipments were not wiped down properly. Changing rooms and toilets are run down and not well maintained, some lockers were broken and toilets were crampy and not ventilated properly.",1,Fitness First,Junction 10,286,2023
"Very friendly staff, especially the front desk.",5,Fitness First,Junction 10,47,2023
"I enjoy my workouts here because there arent a lot of people even at peak times. Sauna is a little small but enjoyable, mens toilet stall locks are most of the time barely hanging on to the frame, some men dont flush thus if youre unlucky youll have a glimpse of a sea cucumber, everyone respects each others space. Overall a great gym to workout in",5,Fitness First,Junction 10,349,2023
"Always smiling, cheerful and professional. Never fails to greet customers everytime!
A great start to my workout always! Kudos to your ever pleasant and wonderful front staff and trainers.
Special mention to Miss Prema n Swetha!
Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,277,2023
"Love junction10!!!
Place, staff & vibe!
Heard rumour FF may think of closing this place - please don't!

Also pls add front mirrors to other studios!! A gym studio is not a studii without mirrors!!",5,Fitness First,Junction 10,197,2023
Great gym with friendly staff,5,Fitness First,Junction 10,29,2023
All the counter staffs are friendly n helpful n cheerful ,4,Fitness First,Junction 10,57,2023
Great introduction and trial arranged with Kenny and Fafa,5,Fitness First,Junction 10,57,2023
Thanks Fafa! Excellent service. Look forward for boxing session.,5,Fitness First,Junction 10,64,2023
Very professional coach and friendly staff. Clean and positive atmosphere. Lost almost 15kg with the help of coach Ahmad,5,Fitness First,Junction 10,120,2023
"Fitness first @ J10 facilities is great and it even comes with a sauna :) Did 3 sessions of trial PT with Tony Tan, he guided me well on how to use the equipments and the right posture for working out.",5,Fitness First,Junction 10,201,2023
"I've been a member at this gym for 4 months and I've had a great experience. The front desk staff, PTs and consultants are extremely friendly and helpful. Kenny is my consultant and he has been extremely helpful, and has checked in with me frequently. He also explains the different packages with great detail, allowing me to make the best decision.
I've also been working with Desmond for PT sessions and he's a great trainer. He's been very patient and encouraging while also pushing me to my limits during sessions!",5,Fitness First,Junction 10,518,2023
"I joined FF at Junction 10 from the beginning of this month, the ambiance here is always inviting and comfortable. My consultant is Kenny, he is welcoming, helpful, patient and detailed as well. His service quality is outstanding and highly commendable.",5,Fitness First,Junction 10,253,2023
"In the past I had very bad experience in other Fitness Centre.
I joined Fitness First at Junction 10 about 2 months. My consultant is Kenny who explained very details and recommended which package more suitable for me. The importance point here is I dont get pressure from him, hence, I can decide my package as per my own paste.
Although Kenny is not my trainer but he always give me values advice on how to use the equipment correctly.
In Fitness First junction 10, I always feel relax and comfortable.
Thanks",5,Fitness First,Junction 10,511,2023
"Excellent customer service, from Kenny and other staff, and good training from jerry",5,Fitness First,Junction 10,84,2023
Friendly service staff and trainers. Pleasant gym environment with great facilities and locker rooms. ,4,Fitness First,Junction 10,102,2023
"I like junction 10 because even tho it may not be the biggest club, I think the people there esp my consultant AL makes it special everytime. The shortcomings the place have does not come close to the comfort and warm feeling that you get when you workout there.",5,Fitness First,Junction 10,262,2023
"The atmosphere in Fitness first junction 10 is really great. I would like to commend FAFA for being so positive and approachable and for her great recommendations! The staff trainers are not only knowledgeable but also encouraging.

I also enjoy attending Sarahs classes as well, its fun and she taught me about executing a proper form.

Overall the trainers and classes in FF creates a motivating environment that keeps you focused and committed.",5,Fitness First,Junction 10,447,2023
"Working with PT Gerard has been nothing short of impressive. Hes the epitome of dedication and expertise. Not only does he push me to my limits during every workout, but he also provides invaluable guidance on nutrition and overall health. His approach is no-nonsense and results-driven, which I truly appreciate. Hes helped me build strength and confidence, and Ive seen remarkable progress under his guidance. If youre looking for a no-frills, results-oriented fitness trainer who knows how to bring out the best in you, Gerard is the guy you want in your corner. Hes the real deal, and I couldnt be happier with the gains Ive made.",5,Fitness First,Junction 10,634,2023
Great place to work out. Been a customer for almost 2 years with PT. Gerard is my trainer. People there always take the initiative to make the gym a better place for workouts. My trainer always goes above and beyond to help me out. Truly a gem.,5,Fitness First,Junction 10,244,2023
"Kudos to Fitness First J10 staffs - Fafa and Syazlin, trainers Ahmad & Jeremy and one more Boom instructor/trainer! (they help me whenever I have difficulty with my floor workouts and also they give tips to make it better; they don't mind sharing their knowledge despite me not being under PT)  that's a vibe you'd always want to have in a gym! They've been so accomodating of my queries/needs at the gym. Candies? (Wanting to faint cause of your workout? Syazlin got you! Hehe) Hair Tie?  Punching gloves?? (Oh my this is so embarrassing but there was one time when Fafa lent me her boxing gloves just so I can attend my Boom class) They even get out of their way to answer my queries even on their off days, thanks Fafa! I notice that they always engage with the members whenever they can, checking up on how you're doing, how come you haven't been to the gym for awhile and what not. I love the vibes it gives in this FF branch. Will always be my gym home base cause of these bunch!! ",5,Fitness First,Junction 10,987,2023
"Gerard is an exceptional fitness trainer whose expertise and dedication have been instrumental in keeping me fit. His knowledge of exercise, nutrition, and motivation is unparalleled. Thanks to his guidance, Ive achieved remarkable progress in my fitness journey, and Im grateful for his unwavering support and encouragement. Gerard is a true fitness guru, and Im fortunate to have him as my trainer.",5,Fitness First,Junction 10,400,2023
"Fafa is really genuine, made me feel comfortable and explained their gym subscription really well. Looking forward to my first gym session at Fitness First!",5,Fitness First,Junction 10,156,2023
"Ive been coming to this gym consistently now for almost a year. My experience to date has been excellent. The staff has been super helpful, helping me to improve my form. Prior to joining the gym I had been doing home workouts and boot camps for many years, but can honestly say the combination of cardio, weights and instruction has helped me to improve my fitness considerably. The range of classes and welcoming atmosphere make exercise a real highlight of my day!",5,Fitness First,Junction 10,467,2023
"I love fitness first @Junction10 !! The equipment and classes are great! But most importantly, all the trainers and staff are so kind and helpful. If your looking for a gym, this would be a great pick :)",5,Fitness First,Junction 10,203,2023
"FaFa is very helpful & friendly,similiar for Syazlin,thank you very much.",5,Fitness First,Junction 10,73,2023
"Good Services , friendly and very helpful :)",5,Fitness First,Junction 10,44,2023
"The front of house service was excellent. Especially Syazlin from J10 is very nice, friendly and attentive to member's need",4,Fitness First,Junction 10,123,2023
"Good vibes, friendly staffs. Remember to say Hi to nina and her team whenever u visit this gym!.",5,Fitness First,Junction 10,96,2023
Great explanation from consultant Kenny. Nice ambience and location. ,5,Fitness First,Junction 10,69,2023
"I signed up at Fitness First Junction 10, 30 mins after meeting up with their consultant, Fafa. She was really genuine, made me feel comfortable and explained their gym subscription really well. Looking forward to my first gym session at Fitness First! ",5,Fitness First,Junction 10,253,2023
Wheres the wooden bucket in the sauna? It was never there. This place has wonderful and smiling faces staff. The place is clean and tidy.,4,Fitness First,Junction 10,137,2023
"They put me on a 3 month subscription without telling me that if you plan to leave in between , you would still end up paying full 3 months of subscription fee.
Pls be careful while signing contract, they would enrol you to something which has these hidden clauses",1,Fitness First,Junction 10,264,2023
I never come to this place before so I will give it 1out of 5 star,1,Fitness First,Junction 10,66,2023
one of if not the best gyms i have ever trained in. 10/10 in my book,5,Fitness First,Junction 10,68,2023
"The ""bring a friend"" privilege is such a scam. This outlet does not follow the main policy and manager ignores customers' emails.",1,Fitness First,Junction 10,129,2023
Cool gym,5,Fitness First,Junction 10,8,2023
"Gym is well equipped but the lighting a little too deem.

Aircon is not working well. Ventilation is not the best.",3,Fitness First,Junction 10,114,2023
"Oh 0.5 6090u9ppp pool 6p60o080 3.30 u9.3990 p0p090p 06lp pp o6l7 pm 509

Hi I p80p p 6.15 popping",5,Fitness First,Junction 10,97,2023
"superrrrr friendly esp fatehah !!!! and they all made me feel so comfortable to start my gym journey,,,, with a wide range of equipment too ",5,Fitness First,Junction 10,140,2023
"The most disgusting outlet. I thought ang mo kio was the worst but it turns out this is worse. Poor air conditioning and circulation. The moment u step in, all u smell is sweat. The toilet is very stuffy, no lemon water available. Overall bad experience",1,Fitness First,Junction 10,253,2023
"Great staff. Decided to sign a personal trainer package with Fitness First. Thanks to Faez, had some great progress over the few personal trainer sessions. Would highly recommend it to anyone regardless of whether you are a beginner or a long-time gym person. Highly recommended!",5,Fitness First,Junction 10,279,2022
A good place to work out.,4,Fitness First,Junction 10,25,2022
Good place to burn your body. Counter staff are cheers ,3,Fitness First,Junction 10,55,2022
"Awesome gym that I visit regularly.

Great service from staff, clean and well maintained facilities, wide range of equipment although slightly old, never too crowded. Nice gym crowd with varying levels of experience.

Only gripe is that it can get warm at times in the toilets and weightlifting area, due to the building structure that makes it hard to retain cold air (they do provide a big fan). Sometimes you may also smell the Sheng Shiong located beneath the gym, as they probably share the same vents.

Compound lifts equipment available:
1 flat bench press rack
1 incline bench press rack
1 half rack
1 full rack with attached platform
1 smith machine",5,Fitness First,Junction 10,658,2022
"Not a platinum gym so no workout attire provided. Its clean and very well maintained. Staffs are friendly and patrons are great too.

The machines are a bit outdated but get the jobs done.",4,Fitness First,Junction 10,188,2022
"I met Syaii at the Junction 10 club when I went for a trial. She was really patient and efficient when outlining the packages and answering my queries. She even travelled down to the One-North club (when I said I was working from office) a few days later, and we had a follow-up session there. Really appreciative of her help!",5,Fitness First,Junction 10,326,2022
Had a great experience with Syaii who helped me with my membership enquiries. Syaii was always prompt with her replies and also took the initiative to help secure a discount on my membership for a referral I introduced. Thanks Syaii!,5,Fitness First,Junction 10,233,2022
"Thank you Fa and Syaii for their professionalism! Great attitude and always cheerful.
Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,134,2022
Just want to drop a note of appreciation for Syaii who was very patient with me and my schedule. Thanks for being so cool throughout ,5,Fitness First,Junction 10,133,2022
"Recommended by my cousin to perform my daily workout. Staffs there are truly awesome and super friendly. When needed clarification regarding contracts and payments wise, staffs went through the extra miles. Thanks to the staffs (Fafa, Nina, Syai, Julie).. You guys did an extreme Awesome job!!

This gym club is amazing. Amazing facility, top equipment and great environment. Members there are friendly too.

Really recommended for those looking for a place to gym.. ",5,Fitness First,Junction 10,467,2022
Love it! Friendly staff friendly community great instructors.,5,Fitness First,Junction 10,61,2022
"I have enjoyed my sessions at this Fitness First outlet in Junction 10 for the past 6 months. The staffs are friendly and welcoming. They cheer you on with your every visit. Special mentions to Fatehah (Fafa), Shai, Julie, Aaron, Nina who have been great joy and company. The trainers are knowledgeable and friendly too. Extra star points to Trainer Danny (Ansafuddin) who has worked tirelessly to ensure his clients are achieving their fitness goals, me included. Some gyms can be off-putting and intimidating but working out at FF @ Junction 10 has been nothing but a spectacular experience. Good job guys!!",5,Fitness First,Junction 10,609,2022
Syaii helped with the registration and was not pushy. While sharing the benefits and possibilities of a fitness first member.,5,Fitness First,Junction 10,125,2022
"Signed with Junction 10 just awhile ago and overall experience has been positive! Gym floor and class studios are well maintained, great for workouts. Special shoutout to consultant Fa Fa (Fatehah) and Julie who have made this experience even better with their patience and great customer service. Thanks!",5,Fitness First,Junction 10,305,2022
"Coming from True Fitness whereby we had to fight for lockers during peak hours that does not even work sometimes (fellow gym members who are rushing to change to attend a class will understand my frustration), joining Fitness First was the best decision i ever made in 2021. My home club is Junction 10, and everything was right from day 1 - with your super friendly and efficient consultant Fafa who attended to my enquiry patiently and explain the t&c very clearly. Fitness First is blessed to have such a dedicated sales staff! From the second day onwards the counter staffs call me by my name - these are small things but it goes a long way on how dedicated FF Junction 10 is to provide the best workout experience and customer service! Kudos to Fafa and all the staff at Junction 10 for maintaining a good customer experience everyday for our workout. Although I can access all clubs, 99% of the time i go to J10 only :P",5,Fitness First,Junction 10,925,2022
"During my sign-up process, the original sales consultant that was allocated to was not able to make it, hence Fafa stood in for her. However, this is a blessing in disguise as Fafa is one of the most well-versed sales consultant that Ive ever met. She was able to address all my concerns and even during after-sales when i encountered issues with the applications, she guided me on how to use.",5,Fitness First,Junction 10,393,2022
Wonderful facilities and accessible location by bus or mrt. Staff are helpful and nice from the get go. Aaron helped me with the membership enquiries I had and ahmad is a great PT for my fitness goals. Thank you to all FF J10 staff :),5,Fitness First,Junction 10,234,2022
"My first ever experience of a professional gym..and it was absolutely amazing.

Such helpful team too.

Right from Fatehah who helped me sign up to Tony my trainer.

Also Cleanliness and hygiene : 10/10",5,Fitness First,Junction 10,202,2022
"Joined FF Junction 10 for 4yrs.
Great place to workout, along with friendly staffs.
Enjoy attending classes till I suffered severe knee pain. I was fortunate to met my current PT, Danny who noticed my knee problem after one of the FGT class .
After a few non-obligations session with him, there has been tremendous improvement on my knees and that's where I decided to took up a 24 session with Danny followed by a 72 session.

I have witnessed great progress with personal strength & fitness and I strongly recommend him (Danny)to anyone who wish to excel in your personal fitness.",5,Fitness First,Junction 10,582,2022
"1. Terrible training experience with personal trainer nicknamed Danny who was unhappy that I signed up for only 8 sessions. I had ab strain after training with him and left a lengthy google review but it was hidden.  No tracking of progression of weights lifted.

The sales manager who manages this Google page, is no better as he claimed that injuries would only occur after 48 hours with Danny so it could have been the group FF classes that I joined . Ok can. I only used 7 out of 8 PT sessions.

Left negative feedback on the FF junction 10 FB page and was blocked. Wow.

2. Classes have been reduced since pandemic and are fully booked. Hard to get slots
Anyway I cancelled my membership after this training fiasco.

Update:
Gave 2 star rating instead of 1 because the Front desk staff are nice, patient and friendly.",2,Fitness First,Junction 10,822,2022
"I have been coming to Fitness First for the last 4 months and ANSAFUDDIN(Danny) has been my personal trainer. I highly recommend the gym and Danny as trainer. He is very encouraging, supportive and knows how to push you so that you can achieve the results you want. I am very happy with him as my personal trainer and overall the gym for the friendly staff, well maintained equipment and good facilities. Cheers!",5,Fitness First,Junction 10,412,2022
"I took personalised one on one supervised basic fighting and body strength sessions and it was really worth it. I highly recommend it. I trained under the supervision of Jake, my coach/trainer. My sessions were planned to my body strength and limits, neither too much nor too little. Jake, as a coach was very encouraging, highly motivating and very supportive. He has all the qualities of a good coach. In each session, I was trained to my limits, with proper posture and Jake behind my back encouraging and supporting all the time.
All in all it was a great experience and totally worth it. The superb coach was one of the reasons that really stood out.",5,Fitness First,Junction 10,655,2022
"FF J10 is almost like my second home. Staffs are nice and they do remember members by name which is pretty amazing.

I am fortunate to have 2 PTs ( though not at the same time ). The first trainer is Audy who set the foundation of my stamina and strength. He never fail to stun me with his workout. He is also some one with a big heart who will still correct me on my movements even if it is not the training session with him.

The 2nd trainer, Tony is encouraging and patient in guiding me through the various exercises and the many questions that I always have. Tony level up my strength to another upper level.

Also to add, Tony increase my confidence in weight lifting significantly. Both trainers are great, one build the foundation, the other strengthen the foundation.",5,Fitness First,Junction 10,776,2022
"Fantastic fitness center. Great personal training packages and fantastic personal trainers. Can specially recomend Tony Tan as a great trainer.. friendly, knowledgeable and motivates you to give your best!",5,Fitness First,Junction 10,205,2022
"Very friendly FOH staff, gym is clean and offers a variety of equipments.",5,Fitness First,Junction 10,73,2022
"Messy, weight are hardly put back to their original spot, crowded. Cupboard are mostly spoilt, or occupied even when the gym is half full. Machine are not well maintained.",2,Fitness First,Junction 10,171,2022
"Fitness First journey has been a pleasant and lifestyle changing expedience for me. In fact, my son was motivated to join seeing results after his trial too. Thanks to consultant Fa Fa at Junction 10 for sharing with me. And wining this Samsung watch is a bonus! Thank you Fitness First.",5,Fitness First,Junction 10,287,2022
"Positive
Communication",5,Fitness First,Junction 10,22,2022
Ahmad trainner best trainner. Muscle gainned a lot thanks to him,5,Fitness First,Junction 10,64,2022
"Clean and great gym. Syafiq my PT is always very encouraging and patient in guiding me through the various exercises!
Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,166,2022
"I am in my early 60s, joined the Fitness First family with my son & daughter in law last September. It has becomes a family affair to keep fit.
Highly recommend those who want to keep fit like me to join Fitness First Junction10.

All staffs at Junction10 are very friendly & helpful,
especially Aaron Tok, very professional & helpful in assisting any queries when approached. When I have doubt on the boditrax apps, Aaron made efforts to explain & guided me through.

And my personal trainer, Jake Tan, who is very patient & motivational when doing PT. Jake will modify the training to suit my age & fitness level. Even when I am not having PT session, when approach, Jake will explain how to use the various equipments in a very helpful way.
I have gained lots of confidence & able to train independently, largely due to the staffs friendliness & professionalism they perform.
Kudos to you guys. Keep up the good work.
Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,969,2022
"Julie is greatly helpful and provided useful advices
Positive
Quality",5,Fitness First,Junction 10,69,2022
"Julie Heng is a helpful, friendly staff at customer service. Keep up the good work.",5,Fitness First,Junction 10,83,2022
"A spacious and well-equipped gym indeed. Very energetic instructors, and excellent service here.. shoutout to Julie who's both attentive & personable... it definitely makes a wholesome experience each time I'm here!",5,Fitness First,Junction 10,215,2022
It is a spacious gym but it will be great to have more variety of classes like Body Attack. We have very friendly and professional staffs at the counter. One of them would be Julie!! J10 Good job and keep it up!,5,Fitness First,Junction 10,211,2022
Julie is very friendly and nice hehe,5,Fitness First,Junction 10,36,2022
"Great fitness centre. Front desk staff esp Julie is A++
Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,104,2022
"Friendly staff
Positive
Quality, Professionalism",5,Fitness First,Junction 10,48,2021
"Probably the worse fitness first outlet in terms of; weird carpark, site and equipment looks old. They dont have infused water too ",2,Fitness First,Junction 10,131,2021
"Pales in comparison with True fitness who have much better equipments, environment and people manning the place. Needs a face-lift and replacement of older generation equipment. Not for serious body builders.",3,Fitness First,Junction 10,208,2021
Great place great trainers great equipment,5,Fitness First,Junction 10,42,2021
Decent range of machines that does not require you to wait even though there were lottsa folks there. Friendly staff.,4,Fitness First,Junction 10,117,2021
"Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,48,2021
"Positive
Quality, Professionalism",5,Fitness First,Junction 10,33,2021
"Eager & helpful front desk team! Could always count on them whenever i need assistance from small to big issues encountered at j10! Always find this outlet with homely vibes 
Positive
Communication",5,Fitness First,Junction 10,197,2021
"Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,48,2021
"Love the staff, they are super friendly and remember you & your frequent classes.
Positive
Communication, Professionalism",5,Fitness First,Junction 10,121,2021
"Positive
Communication",5,Fitness First,Junction 10,22,2021
"Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,48,2021
"Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,48,2021
Fatehah is good,5,Fitness First,Junction 10,15,2021
"My favourite place for my gym! The equipment is well maintained and staff are friendly . Nice place
Positive
Communication, Professionalism",5,Fitness First,Junction 10,139,2021
"Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,48,2021
"My personal trainer Audy is very professional & conscientious in his training. He also customize my training workout to my needs.

As for Customer Service, Fafa & Julie are most helpful in many ways. Both always very cheerful & well mannered.
Positive
Professionalism",5,Fitness First,Junction 10,267,2021
"Julie at the front desk is very helpful and informative! Always get to answer all my doubt and help me solving my problems! Thumbs up!
Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,183,2021
"Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,48,2021
"Positive
Communication",5,Fitness First,Junction 10,22,2021
"Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,48,2021
"Friendly and great atmosphere. All staff and trainers like Mangesh Julie, etc are professional and nice.Lovely place to work out.
Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,178,2021
"Julie and Fafa the best!!!
Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,75,2021
"Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,48,2021
"Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,48,2021
"Very happy to be back to FF J10. Consultant, Aaron is very patient, helpful n professional. The recent ktv cases made me decided to quit from FF again but Aaron think of all ways to help me and convince me. Tkvm, Aaron, really appreciated it!!The service team at J10 also made me felt so welcome! Thank your for your warm welcome, Ms Nina,Ms Julie and Ms Fatehah. Stay safe everyone!
Positive
Communication, Quality, Professionalism",5,Fitness First,Junction 10,432,2021
